Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Total Detected Deleted And Obsolete Tests,Algorithm_FAST++_Total Detected Deleted And Redundant Tests,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-all_Total Detected Deleted And Redundant Tests,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-CS_Total Detected Deleted And Redundant Tests,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-pw_Total Detected Deleted And Redundant Tests,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
43eba0aec4b19ac87e360dbc5d51af5bc15df4ea,73,1,['src/test/org/apache/commons/lang/mutable/MutableNumberTest.java'],72,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
ca2e59c513edc2a8b30ff62595e01f8dff79f0d2,153,1,['src/test/java/org/apache/commons/lang3/test/SystemDefaultsSwitchTest.java'],152,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
2fa0b168d62a07365b2787d0ed97fa1c2cfb673b,137,1,['src/test/java/org/apache/commons/lang3/time/WeekYearTest.java'],136,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
22861326c26a7feaa13f08f5cb8c8f68bedb1225,108,5,"['src/test/java/org/apache/commons/lang3/compare/ReverseComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/FixedOrderComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/NullComparatorTest.java', 'src/test/java/org/apache/commons/lang3/compare/ComparatorChainTest.java', 'src/test/java/org/apache/commons/lang3/compare/ComparableComparatorTest.java']",103,95,0,5,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,5,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,5,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,5,[],[],[],[],[],0,0,0,0.0,0.0,0,0
784a817fef0bcd09432c32e54bf80d972d3d15bc,93,4,"['src/test/org/apache/commons/lang/enums/EnumEqualsTest.java', 'src/test/org/apache/commons/lang/enums/ValuedEnumTest.java', 'src/test/org/apache/commons/lang/enums/EnumTest.java', 'src/test/org/apache/commons/lang/enums/EnumUtilsTest.java']",89,95,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,4,[],[],[],[],[],0,0,0,0.0,0.0,0,0
26b587c7babccea6ff3f79cc43e1ad2da6c6b3cb,90,1,['src/test/org/apache/commons/lang/IllegalClassExceptionTest.java'],89,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
2c499868dbf7cedc9a56c3d873fe9e287d7e0f29,108,3,"['src/test/java/org/apache/commons/lang3/compare/TestFixedOrderComparator.java', 'src/test/java/org/apache/commons/lang3/compare/TestReverseComparator.java', 'src/test/java/org/apache/commons/lang3/compare/TestComparatorChain.java']",105,97,0,3,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,3,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,3,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,3,[],[],[],[],[],0,0,0,0.0,0.0,0,0
da46e86e2f392277df00e10dfa543d09a1c85f84,88,1,['src/test/org/apache/commons/lang/math/RandomUtilsTest.java'],87,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
716f140d46c1737ca1c6b22a1db10fe041fbf810,144,1,['src/test/java/org/apache/commons/lang3/XMLCharacterTest.java'],143,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
7952a5525444ab03243a9f80375050caf2419770,77,1,['src/test/org/apache/commons/lang/text/InterpolationTest.java'],76,98,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
