Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Total Detected Deleted And Obsolete Tests,Algorithm_FAST++_Total Detected Deleted And Redundant Tests,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-all_Total Detected Deleted And Redundant Tests,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-CS_Total Detected Deleted And Redundant Tests,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-pw_Total Detected Deleted And Redundant Tests,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
63bb89e4981d5fb90daeaa9defa18483d45c6e57,492,1,['src/test/java/org/apache/commons/math4/complex/QuaternionTest.java'],491,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
32c230328895e78894c874b077382b77054dab99,281,1,['src/test/java/org/apache/commons/math/MaxIterationsExceededExceptionTest.java'],280,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
57eff0d0c37ec003ebed48d3334c93cd9c038f64,465,2,"['src/test/java/org/apache/commons/math3/geometry/spherical/oned/ChordTest.java', 'src/test/java/org/apache/commons/math3/geometry/spherical/oned/SubChordTest.java']",463,99,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0
e082e0c48ed611ce3aca949cb47d0e96c35788ef,502,1,['src/test/java/org/apache/commons/math4/util/ArithmeticUtilsTest.java'],501,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
ac938e644fcf817c43955b1a334c25b836296d3f,533,1,['src/test/java/org/apache/commons/math4/random/Well44497bTest.java'],532,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
d429505103865e9f92c4c21d1a5d51eab35d7733,339,1,['src/test/java/org/apache/commons/math/MathExceptionTest.java'],338,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
2a4219105eb7abc98bc393ebae4422cbcad11b1e,201,2,"['src/mantissa/tests-src/org/spaceroots/mantissa/random/CorrelatedRandomVectorGeneratorTest.java', 'src/mantissa/tests-src/org/spaceroots/mantissa/random/VectorialSampleStatisticsTest.java']",199,99,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,2,[],[],[],[],[],0,0,0,0.0,0.0,0,0
238f211d6a7b94b65c56fd20a0bbb1e4f936f17a,420,1,['src/test/java/org/apache/commons/math4/fraction/FractionTest.java'],419,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
456de1bf98e87d18588fe76b623b5ed1bd4d715b,410,1,['commons-math-legacy/src/test/java/org/apache/commons/math4/legacy/random/UniformRandomGeneratorTest.java'],409,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
b81be1fea344c07c3024011066f0c8bb8865cc65,498,1,['src/test/java/org/apache/commons/math4/util/ContinuedFractionTest.java'],497,99,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0,0,1,[],[],[],[],[],0,0,0,0.0,0.0,0,0
