Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Total Detected Deleted And Obsolete Tests,Algorithm_FAST++_Total Detected Deleted And Redundant Tests,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-all_Total Detected Deleted And Redundant Tests,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-CS_Total Detected Deleted And Redundant Tests,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-pw_Total Detected Deleted And Redundant Tests,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
462659424c433c84a2f0da1bc40404a1ded46856,3144,1,['tests/ui/src/android/ui/cts/ScrollingTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,583.3378037260263,107.20186238498718,0,0,0,1,[],[],[],[],[],0,0,0,10.217985634459183,4224.893077010871,0,0,0,1,[],[],[],[],[],0,0,0,1.1439677249982196,102.78086909100602,0,0,0,1,[],[],[],[],[],0,0,0,334.9474862210045,3968.4970802509342,0,0
c09f046a08ac7e71f927aab69a6c33443ae8358f,3144,1,['hostsidetests/linkerconfig/src/android/linkerconfig/cts/LinkerConfigTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,690.6974279929709,120.58247098803986,0,0,0,1,[],[],[],[],[],0,0,0,9.612825657051872,4177.49600650699,0,0,0,1,[],[],[],[],[],0,0,0,1.1777399540223996,105.964964236995,0,0,0,1,[],[],[],[],[],0,0,0,332.56555598900013,3932.89477457694,0,0
8688ecffd952e610f1ed4ad4228d66fffdd6cb4b,3144,1,['tests/tests/holo/src/android/holo/cts/HoloTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,665.0247809512657,108.00882458806154,0,0,0,1,[],[],[],[],[],0,0,0,10.300487406842876,3805.5538629778894,0,0,0,1,[],[],[],[],[],0,0,0,1.1693943070567911,106.28170845601562,0,0,0,1,[],[],[],[],[],0,0,0,460.16983022211934,4105.755576549913,0,0
d20715e02e83b45ecef83279de6a5ab321fad79b,3144,1,['tests/tests/provider/src/android/provider/cts/BrowserTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,607.3010425849916,128.80483329499475,0,0,0,1,[],[],[],[],[],0,0,0,10.320118807721883,3941.6474349248456,0,0,0,1,[],[],[],[],[],0,0,0,1.1940901130001293,107.22708380999029,0,0,0,1,[],[],[],[],[],0,0,0,368.0200393130217,3528.1384628350497,0,0
9de4863318f50b9123b5e8ac446ac82f2080fca7,3144,1,['tests/tests/os/src/android/os/cts/SeccompTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,546.2224288650905,106.56230905692792,0,0,0,1,[],[],[],[],[],0,0,0,9.105686982627958,3924.270699417684,0,0,0,1,[],[],[],[],[],0,0,0,1.1976536130059685,108.39691274698998,0,0,0,1,[],[],[],[],[],0,0,0,331.3124357020715,3918.557501494972,0,0
0c612c312efa04e1137ed62580ddaed739c153de,3144,2,"['tests/tests/security/src/android/security/cts/OpenSSLHeartbleedTest.java', 'tests/tests/security/src/android/security/cts/OpenSSLEarlyCCSTest.java']",3142,99,0,2,[],[],[],[],[],0,0,0,730.6436866240183,127.65495599900169,0,0,0,2,[],[],[],[],[],0,0,0,8.005832318332978,3830.1645953669213,0,0,0,2,[],[],[],[],[],0,0,0,1.1950375180094852,107.60385877802037,0,0,0,2,[],[],[],[],[],0,0,0,381.1492566050729,3533.153378524119,0,0
805c99940609fb19a0c1f9820619a148e4429c34,3144,1,['tests/ui/src/android/ui/cts/ScrollingTest.java'],3143,99,0,1,[],[],[],[],[],0,0,0,618.9635282779054,107.54027484313701,0,0,0,1,[],[],[],[],[],0,0,0,10.545872122165747,4195.864483022771,0,0,0,1,[],[],[],[],[],0,0,0,1.119436993000818,99.3372498730032,0,0,0,1,[],[],[],[],[],0,0,0,517.8975016943295,4270.368428055022,0,0
