Parent,Total Testfiles,Total Deleted Testfiles,Deleted Testfiles,Total Preserved Testfiles,Computed Final Budget,Algorithm_FAST++_Total Detected Deleted Testfiles,Algorithm_FAST++_Total Failed To Detect Deleted Testfiles,Algorithm_FAST++_Detected Testfiles Line No,Algorithm_FAST++_Detected Testfiles,Algorithm_FAST++_Failed Detected Testfiles,Algorithm_FAST++_False Detected Testfiles Line No,Algorithm_FAST++_False Detected Testfiles,Algorithm_FAST++_Total Detected Deleted And Obsolete Tests,Algorithm_FAST++_Total Detected Deleted And Redundant Tests,Algorithm_FAST++_Max_repetition,Algorithm_FAST++_Total execution time,Algorithm_FAST++_Total preparation time,Algorithm_FAST++_Optimal execution time,Algorithm_FAST++_Optimal preparation time,Algorithm_FAST-all_Total Detected Deleted Testfiles,Algorithm_FAST-all_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-all_Detected Testfiles Line No,Algorithm_FAST-all_Detected Testfiles,Algorithm_FAST-all_Failed Detected Testfiles,Algorithm_FAST-all_False Detected Testfiles Line No,Algorithm_FAST-all_False Detected Testfiles,Algorithm_FAST-all_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-all_Total Detected Deleted And Redundant Tests,Algorithm_FAST-all_Max_repetition,Algorithm_FAST-all_Total execution time,Algorithm_FAST-all_Total preparation time,Algorithm_FAST-all_Optimal execution time,Algorithm_FAST-all_Optimal preparation time,Algorithm_FAST-CS_Total Detected Deleted Testfiles,Algorithm_FAST-CS_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-CS_Detected Testfiles Line No,Algorithm_FAST-CS_Detected Testfiles,Algorithm_FAST-CS_Failed Detected Testfiles,Algorithm_FAST-CS_False Detected Testfiles Line No,Algorithm_FAST-CS_False Detected Testfiles,Algorithm_FAST-CS_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-CS_Total Detected Deleted And Redundant Tests,Algorithm_FAST-CS_Max_repetition,Algorithm_FAST-CS_Total execution time,Algorithm_FAST-CS_Total preparation time,Algorithm_FAST-CS_Optimal execution time,Algorithm_FAST-CS_Optimal preparation time,Algorithm_FAST-pw_Total Detected Deleted Testfiles,Algorithm_FAST-pw_Total Failed To Detect Deleted Testfiles,Algorithm_FAST-pw_Detected Testfiles Line No,Algorithm_FAST-pw_Detected Testfiles,Algorithm_FAST-pw_Failed Detected Testfiles,Algorithm_FAST-pw_False Detected Testfiles Line No,Algorithm_FAST-pw_False Detected Testfiles,Algorithm_FAST-pw_Total Detected Deleted And Obsolete Tests,Algorithm_FAST-pw_Total Detected Deleted And Redundant Tests,Algorithm_FAST-pw_Max_repetition,Algorithm_FAST-pw_Total execution time,Algorithm_FAST-pw_Total preparation time,Algorithm_FAST-pw_Optimal execution time,Algorithm_FAST-pw_Optimal preparation time
833b4c3884b5a8ede7730c39be3da1cdcbf2f847,116,1,['pmd/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],115,99,0,1,[],[],[],[],[],0,0,0,0.11368100000072445,1.3388089999987187,0,0,0,1,[],[],[],[],[],0,0,0,0.05180600000016966,17.57538999999997,0,0,1,0,[108],['./pmd/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],[],[],[],1,0,24,0.01632500000073378,1.3219189999990704,0.02589199999988523,0.0003040000001419685,0,1,[],[],[],[],[],0,0,0,0.4022059999983867,17.5358269999997,0,0
f16c56dbe8cbdc6da62d9e4162f5d05853fd3d35,750,1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/FormalCommentTest.java'],749,99,0,1,[],[],[],[],[],0,0,0,3.109122999999954,4.483033000000887,0,0,0,1,[],[],[],[],[],0,0,0,0.23493299999995543,96.73375599999918,0,0,0,1,[],[],[],[],[],0,0,0,0.08926299999984622,4.461739999999963,0,0,0,1,[],[],[],[],[],0,0,0,10.817317000000457,102.48660299999983,0,0
942493051eb3deb429b7c4a755807b5a366f2bdf,766,1,['pmd-core/src/test/java/net/sourceforge/pmd/util/DateTimeUtilTest.java'],765,99,0,1,[],[],[],[],[],0,0,0,3.770071999998436,5.1145969999988665,0,0,0,1,[],[],[],[],[],0,0,0,0.25323999999636726,111.84277099999872,0,0,0,1,[],[],[],[],[],0,0,0,0.10108099999979459,5.221434000000954,0,0,0,1,[],[],[],[],[],0,0,0,12.624005999998644,111.14469100000224,0,0
3bf8eb9d1f40fd6b278bd2baf0adbc712cd6dc85,290,1,['pmd/src/test/java/net/sourceforge/pmd/lang/java/rule/design/TooManyHttpFilterTest.java'],289,99,0,1,[],[],[],[],[],0,0,0,1.3317040000001725,4.261067999999796,0,0,0,1,[],[],[],[],[],0,0,0,0.5890650000037567,90.47235899999214,0,0,0,1,[],[],[],[],[],0,0,0,0.05742399999508052,4.173397000004115,0,0,0,1,[],[],[],[],[],0,0,0,2.940026999998736,91.65709799999786,0,0
5f1f887f5360aedf8ddd97fbf7d64e834cbaf85c,122,1,['pmd-swingui/regress/test/net/sourceforge/pmd/RuleSetReadWriteTest.java'],121,99,0,1,[],[],[],[],[],0,0,0,0.1418819999999994,1.3637659999999983,0,0,0,1,[],[],[],[],[],0,0,0,0.08489500000002081,18.47403700000001,0,0,0,1,[],[],[],[],[],0,0,0,0.017138999999997573,1.3324249999999989,0,0,0,1,[],[],[],[],[],0,0,0,0.47624800000000445,18.564537,0,0
c6536db0379500953c443284964528d431662bbc,738,1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/typeresolution/TypeHelperTest.java'],737,99,0,1,[],[],[],[],[],0,0,0,3.645806000000448,4.3663920000012695,0,0,0,1,[],[],[],[],[],0,0,0,0.20933399999694302,101.41378400000076,0,0,0,1,[],[],[],[],[],0,0,0,0.08919299999934083,4.32761500000106,0,0,0,1,[],[],[],[],[],0,0,0,11.593976000000112,100.48421700000063,0,0
35481bda4b59b2b032216cb92f94959a8742aeef,757,1,['pmd-apex/src/test/java/net/sourceforge/pmd/lang/apex/metrics/ApexProjectMirrorTest.java'],756,99,0,1,[],[],[],[],[],0,0,0,3.4847819999986314,6.032904999998209,0,0,0,1,[],[],[],[],[],0,0,0,0.26110699999571807,133.4505379999964,0,0,0,1,[],[],[],[],[],0,0,0,0.11670899999626272,6.082295999997768,0,0,0,1,[],[],[],[],[],0,0,0,14.825765999998112,132.23184599999877,0,0
d5d30dcae758f71bc3b487d31776f3d9a93664ed,742,1,['pmd-core/src/test/java/net/sourceforge/pmd/document/DocumentOperationsApplierForNonOverlappingRegionsWithDocumentFileTest.java'],741,99,0,1,[],[],[],[],[],0,0,0,3.5988350000043283,4.228498999998919,0,0,0,1,[],[],[],[],[],0,0,0,0.2507400000013149,105.13512000000082,0,0,0,1,[],[],[],[],[],0,0,0,0.08402199999818549,4.194072000002052,0,0,0,1,[],[],[],[],[],0,0,0,10.664302999996835,95.54015999999683,0,0
704102cd80d0169bb26f112c00005c4dba9a4049,793,1,['pmd-javascript/src/test/java/net/sourceforge/pmd/cli/CLITest.java'],792,99,0,1,[],[],[],[],[],0,0,0,5.340537999999924,5.38442299999906,0,0,0,1,[],[],[],[],[],0,0,0,0.380282000000534,103.80709400000069,0,0,0,1,[],[],[],[],[],0,0,0,0.1123209999991559,5.511517000000822,0,0,0,1,[],[],[],[],[],0,0,0,14.45668300000034,123.73392100000001,0,0
32a02cecaafab30deb61a30f187ffb8d3b87fc15,749,1,['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/SimpleNodeTest.java'],748,99,0,1,[],[],[],[],[],0,0,0,3.68344199999774,4.691799999999603,0,0,0,1,[],[],[],[],[],0,0,0,0.35090999999829364,111.01560900000004,0,0,0,1,[],[],[],[],[],0,0,0,0.09286299999530456,4.495571999999811,0,0,0,1,[],[],[],[],[],0,0,0,12.600086999997075,110.59793499999705,0,0
